user_id,name,review_count,yelping_since,friends,useful,funny,cool,fans,elite,average_stars,compliment_hot,compliment_more,compliment_profile,compliment_cute,compliment_list,compliment_note,compliment_plain,compliment_cool,compliment_funny,compliment_writer,compliment_photos
2WnXYQFK0hXEoTxPtV2zvg,Steph,665,2008-07-25 10:41:00,"LuO3Bn4f3rlhyHIaNfTlnA, j9B4XdHUhDfTKVecyWQgyA, pypZb3V5TXHOnlTj-qLSrw, 7cDAEEnwfSqG2Lv8Vanr3Q, irkRHMqg9oSt7lv3OSiNkA, 6jEeCpNEU9l8CT9X566Oog, W5VmqP2T4O_aAMq5YwTJzQ, wzyY07YiGwgRKCIcsrBuRQ, IL2yTm7zGmsTF4iKVSZ0ug, AB9JedB0R5wWIsAGjXoMWw, 9AB3-Tw3DBfuEIr0HIXSpg, H0gxrggG__efXkGXRQP1_A, rNNFRAaaIpzJZ1KBrRorZw, FaYXjGgLtetpCCiKmEsq9g, ePSSiFQ8kvQ9-6nAa_pMBA, Tz1FRUGfq7xBf4-ZGlvLZg, wC5FDlL4d5dstl8q91_dQw, H5EY1CeIx4m_pNChKZkq7A, BIdFgt_4owlS1VUcTuZ4fA, 84FcN7Bq9BnL3wPtnyye6w, PCm1knzIbOaziikbVDz-jw, Sa48aWAqDy1wMRgRFGiRHw, DECwE-Th7VEa5PWWoru5iw, IVM7P6IjfWj_sUhLrL9FFg, gjauhhlrvelyFY2N63T8CA, iT1li5FhUudWmviBMMdS7w, 1scP-I_N0AsKLVdzPe3YIw, zHdltdICrilxbqdHFxtVBA, lYC-DFT7VOdxSM6oY2Vm1g, W-OZPeKh4R0GlywUsl09PA, 1unQbxCkgwrZMRmox79LCg, 5NfYjjb1E4c_StGEGXXUXQ, qNrHLZPurBWJzeAMkFLvvA, hmwKaQN_f0dnymp7XH2R2w, F_5_UNX-wrAFCXuAkBZRDw, fQq-PBKARvUGfBnmch9Dqg, 9SS6aiTox2ZVYsMRocUXlw, mbSAI_HwP_6zoXKKhHPdwA, FxC6MmMx6aGxGgHn-f0VJg, JqvMnkshOzWASc6O8D_93A, m7iiJlloCRfWaCPwQwTmpg, 31kTLGYOdRJyE35IDG9h5w, Oqxg1l6lF51kutGD_wha5w, yEQ31-ob7K810vc9XpWxBw, I-02Mz45H7siHsjjgVxPgQ, hxrlveyL89yvIpwnm7MgPQ, wHb0eK5x6hXLVw7-rhU5dw, bm2DqfP4P454FjEtCbZdkQ, kRAYxjb5My1RpKHFn8XRuQ, vj_24j43AL3r-5foxukPRQ, GqzoKYXv6F1O85bhywyoSA, 9i6L_mn_4MLQGwmE-L2QYA, sxDzq79U8v14F9rWb_FsZw, _SVfoi3YUFNHswsfZUO9mg, 0S6EI51ej5J7dgYz3-O0lA, xMKpXNaicvI-BgSA69yp9A, LE8a_KkliLJrzt7SV1DWfw, G9Vb6yQ047TC3O_-GG4WZA, QVAmRIrCxhYLqh7wl4Vlog, IMXjcE230TnjG-tnj6y6VA, UFEa58IGAoBECUPIsId7rA, 2l0O1EI1m0yWjFo2zSt71w, 0lDl1Jg1Qz2KhvkfJKk6fw, V7VAbouEnCt39fsA1MM6RA, tQRw0aZcyns3i2V7PxygKw, bczrJHwNtA1Q3G2nlb5Haw, GGWjA8v479feCo6OPTLQOg, D1LeNWYRYX5Y3QU501k3tQ, 53bZ_EsXH71L7iFs5MP9_w, 4BxI8ZBIpJiSbLhQfHtkng, 40MywB-9aaAPmqRkThlaWw, EtBea-v-2JAvZdfg7XH7iA, Q-gYf7i8jZRtEl4fDedFTg, M0aIB-0yrginraKifvcCBA, AO_Tge7mRTQV4iOy3fg8fA, RV0_WrvLVazyD9OMYsXZRQ, SVtNctg9k2QOGj0znfHVwQ, 0ObIfSgndeeR_kGlo1S7Ww, qHe62_xv6DyripSqnCtHqw, Z0xqgGaxDrRd-0HsVIvdAQ, GYndf-h6dAwpGP0lDBz2Wg, wvo6CDYUY6gD6q_iLjmAOQ, 5hS9juuaN3kTV5f13nfFZQ, lNDRQXkwHD-EspEp3Qu9FQ, 64ZlhCqwiENT5W0NA6IIaQ, Vx-l5rI0xAiN4SeBonrgkw, vBAejKR6g7vZSfLh5kG_iA, rF77YRYKrxb__FGLQx707g, RQfU47edGoGg4CA5MhpabQ, GkkXSqLoNnbTduSuYlz-oA, -vTrhRbmEzB8Ax87bfL-qA, IEIId9sziM12IkejeFH_VA, fh0aHWleYNQbuRjOO-C0HA, Z51O8-MOLfclC1rKE4LB6w, 9tcmF1c4XJuS4zlXXd1zKg, zK5TDuMTVpEg7IgHtgSH9g, 1Db1gmMmDf3MXNMeUa46fw, BwFEjsr9yLqdszAmAxFYQg, 011145MPIsSoYleZh6z0ug, GaK9oql0-zyIOYP_v1NuEw, KUohiVbxXpEQlULLiGHvmw, OsfcqC_fjDnp8-aRZcEkfw, MxnNT3MSGco7hQN6-pCNow, 5MHJZRMIn_HUwJ_SY47HDA, AgTkBCxuinzStHNRKyVRiw, 6vZiVk2vyOVqkeNpcGHxfA, gvYdMI_M6clQDGkrAvbRuA, Z2PeqEKL87UUG3vfMBRd4w, ouJuVAEPnnEC_zhcrSf5GA, sPk1JlWVFj1ZUiKABZSPdQ, XpisHXRTX5bWEgUDI2b2Cw, qVBQucop3Y4NQzxeF0kaLA, WYFZSienSiFNBhYk8esU-g, YUxH_F9jMGAe7PIe8DO34Q, 5xyUUCEtv0fLEQrmJuZnRA, kOp2P-rCf9-DgphhCqgB0g, 0kSXMbNFo7mdwTPj4iQv9A, XeWIIUbGwxS6YKrbddBtFw, 9YS3MUQ8nrpc9-03ughw-A, bn9PemZypYvWcwLHeum8eA, _H1VvAk65d2z-2-XuLHkmw, _Rzlx58zV2nJo56Qzod_wg, lZbuh6DY1bcvpbBN5gIeTA, ALxxzaDVFzFB3PQjB8jWdg, b9kyfGQQxNOxQ9rZWvF2gQ, czPJqivL2To9bes_qOdkdQ, sOwomiAx2JYbYiJEIKmCsA, wZPizeBxMAyOSl0M0zuCjg, n3bnVD8lpArpW1K4n1qosQ, xbDWFe-Nvgz_LbtPrrJ_WA, xLpWuP6lwGmelpV4AuFrKA, 5H3N-n2yn2gjmBDUT0sh0Q, wGrd7vRKAwfOjKRaLVf2jg, 3-t_uaPKVQQmOUAIu7C-PA, 2gtFix-psqBr60FUvnSJuQ, VhJpXZ_RQHzfY6xwVE8YTA, 7rfBi8WiNHliL-cAqMGNew, xt26UePJKMVPcZIUuTTl8w, j8YxElKHhbg1ghQDSI1v3Q, -fH5KxV_TYGWOVCuLyYnIw, 9woUfX_PsUiZcRY0aSWfEQ, 2PYxmh4hYRo6Mfc1WniqIw, Jc-eMfA8huyqz5Z1w8qcAA, lHnMp5AxsBHyky2RG238Uw, HFK_VC0A29ukKcsK3tmMsA, gvvL29LucecJQRXdq01VFw, 6tIEwzNJAFgClCyw5LytpA, HDx0IqafD9eQULAZCgLWpQ, Zrz0DKRSACSVxiGPJruDcA, 6b-xMDKuXglIDVRf08eKJg, nuG5UpCvswNdDXJP_Efl8Q, dfYNTBw--CYlZbFz581kYQ, Bi1kvjelB72fAI9WhaARBw, -YUFeE4jC0JtfTe3QEMsGA, rB6RXS0dwwcXtfKttyMM9g, V6APOG0S2_edEoT6LHWYww, ccjoL-gEBKBXiOApHn2Bhw, wtbLadxNNSAyc6wmhWMGXA, QFjqxXn3acDC7hckFGUKMg, 2v-QMFXBVcFjKi0knb0cmQ, 9cjIQqdgTBZ6q-MW2hzyAg, djxnI8Ux8ZYQJhiOQkrRhA, yFLNHDlCriteboCVKjtpbA, LF_0Z_ulZ7ssicTYk3lEGw, h-6iSjGMTMCmCwJbu34l4g, wy4NZPGAonzuz9RzSDtDNA, HudBrYGK8EXeLWpQhEFm8A, QnZs7dt3fEBbUyb6tRXqqQ, K7UyFiWPVC_O_ZzZEn4OsA, sBswn4u5KkmMyWVCV8mTrA, Q4ziRHRf7gzEwTf2d0Zecg, 5ZVgALU4fA5VjBvbIolhHQ, MppPWYfLv7n5OoWDy22K4g, A5LiLVxDDEoTDCqGjRTbfw, ngsiA5XnbIiBb-mXdNvMSA, v7LpBlX8tN6s6oMk01AHow, 8Lc3-TTHjExd79GSQIHnAw, 2fiO9EVfhc96-G_lMo0Ntw, JArlA8GMRnk7TaDnFVRSsw, AEIIG42xzArGlnSYvKD1cA, EiwxlbR8fb68lMgEXhcWKA, yfIp-V7gWAh9xdpL85kUUQ, DTEa4cIRdr6T4jaIw1xubg, -ulvjJmtH7qHV3IBBkExLg, WWP06D5BncW30kSOkOC6WA, awfsXBbYhF20guziE-n5Uw, i1_zHvBxOPrGG90BEwlRbA, HXyN-DMrwbhckKW_-Iku2A, qGLkFXVmnovZB_tMIi_ICQ, a68fTwBqLwYDp80ZPQo4NQ, TE9o4cWvNXg5IYcjAwI5hg, RysxQN49TCn9e00w9zlEVA, pPpKjxY6cAU6KnS-rKtl1A, HSjCQggmCepXir2R3OYW-w, tsXYlZLFIihPW-kOU-vJ9A, DWDiUpAjrRcdU3bIOfc9gg, -uBmDm-WLzhue5KQUiol9g, -TIvi4-ch_SHe-5NhEesRg, lLr1ZXNBk6In8dQgUB4AvQ, acRIQd_VuyOsUZ8sWiarzw, pMM1oKAIWGPRo-1IawgrDQ, wq-jm7sjJT1HFAJZRBW1gw, U105BxvfSFDkxC2zIOYmDA, orYuFrC0lqw6-IoO2R4-Fw, D4d1P-h_k792Az6kl1u5ig, gjhzKWsqCIrpEd9pevbKZw, VBmxc-Xe4b_sQyQA-S566w, _1htne96OKfOfs84iX5tTA, QJI9OSEn6ujRCtrX06vs1w, No-z4NfZSN7kOdSucW6eaQ, he5QBJkHmjc1Q_G3jgeigQ, _aSs5dSAabuwnXUGBPzASw, QzAmLGM7sD7rHBJg8ALkmg, YZUNuWWIjt1yxN3FnjkH6g, a21yEFhTXEJImb9hGl0JyQ, CYQNdjHCL9nedkLMfKLHmg, fRfkYoWS5NGh803Daj-Dww, 8dWVRK9v6TrhD-63TTEoIw, ZpN3vwmMttBZ4i6F6V1twQ, PT7El6PhrLu3hZZN7uxqqw, Jauy1DNjM7B_SXFoiq42Xw, O_d0kwOIwhS7O9b-9ukv5w, DBvQvSt0cCxst4NkzEUtyA, UJcXryv3GnXik-dauejBdQ, CGVQmem0Yf-mIXIWlLUInw, VrKFAUmz8jGcBK8EzEsr1Q, IzJ36jX6V6ky5BtoN-Agng, uAa2Hu6XtuUPxX_B3uS8Aw, 9YRFLVFVbHGAJ1weFx5zqw, XyTQyDgopK1NINHB0yUtQw, G7hvNCuawT12NLd9YxeU5w, 1MOJ_KIVRPyhTTaKIG4ybw, jrMxBHW3SlUGVGYWvPsHWA, cO29gBJx1ZBWWhw_5CincQ, gmaWUt02_ixItBN2gQsMGQ, RrKRWiee9f3HqsLG_7o6_Q, amKULZardzCIiU1Gfc0aJg, 4rrd9a5IbmR5pt9Qzm3k1w, lPNsKsD-HvdgkzfGq-Gjig, a_amzPmwoXWtL4eKhGa7-g, _rdBCIHPfTPoew7EcrCt3w, o3Zv4AolGeRr-xX7QhESUg, F7vgCzNV-cSGvTn4szQDuQ, HFysxgsNHZ-Tu0RlDoxHUg, 95McYrxCoSbksnsT_lDjhQ, G5ATcER3ZQ4SPUgZ_KgasQ, Hze9r06sEb-EXEFPwwBTIA, K0HS7eDWCAxJ8x1yL9flMg, eSlOI3GhroEtcbaD_nFXJQ, WItmi0by6gmtA7mJHbCBPQ, HCP1pR_44Pw5_BiWAp47-Q, MsV3_SMzqtceVTz4ESva0w, XEwkGRM3z6UWISIgmqx2hA, 6p1NDChnIpGl29Ce3cMKWg, SqNxf5YVm0HP9h5ueDmNkg, ottOuy7FZtUV2HnBfhVk0w, mH_vxQd4iLSX-ru29bbLaw, 0WcUP0kdhdx4A-L9d7mHgw, F4HpMcQ8pvJQOXEEqIcBQg, DJaQV3r153ZsBQArxAPl8g, sCxXYROTaP3NnCcxiD-rnw, 0XaQ6vvgy5pi5XAaz12mOg, ptRmUSG4dr3HGOVTl0IyTg, LzIy9-GxA1ptKnBe411fiQ, LgaOupJKBudIO5CglhB68A, 7seAKcEuDpZlP01BBn_3AQ, HSZQmJLUK0vhJMVQd00rrA, IG99ev0nntm7wtQbs3-gJg, rbI0-TMYBFLnUsymbWyO9g, Ku7l1UkMmXaRj-vdb7GadA, ndyuks7hXNIIY8nciaoPgg, TH6EYFn2X14wj1EZsxN8IA, s-zGDwiw_ZrsRkMejIiMyg, 796_TY6u-ShEox5DEgckmg, 5EtP4mj-_p6Z9qMV-wpW8A, BPapTstvHstufikOg2Np6g, YhjzX1HvCaP5bRK4koem2w, VyxnyQcP8Ywv-MjLYiM6Sg, VsrrK19gm-XqZsNuYygFXA, hOwNzTU0g0UzNLNQhhuHEQ, hS-gMamr37sQG30dr7luXA, kOUzW4porPxN0n54Z0eHMQ, BfBXCzskhU05fVyeC5H30w, 9x1eDg8Wuc6rJw1HtIVTmA, UwZXeXC7z1inksQo0RFbTw, 0Ja53of_Mhg2LfG2gaOvYQ, gQVH0CSYRWjuwr8UTKMuog, _OHaoJFgB9-Nf05Y_IeabQ, yUXLAU91w_SYIPBfIwQL1w, CMo6ohUYJyj8rb__U4XjbA, WEEM93gTzWd1Gm3yKjvmBQ, w2ptlD8gg7ZhzSNZIe_ceQ, 09FIEAXAr6JMfNm13O36-Q, qHbzv9WmGl3ITsxuqL-C4g, JIg7AE1bstZ4TasMfy-I_g, ENC3P_VLhTb20mWQ7XUB7w, tS5qu1uKPSNZbXiZ389rVg, b0cWkZxzX-iFeZCFgLedug, 7IJ1bG1pNgYUlWq3veeplQ, 2VGW1A4Fh0KFjpri2aae8g, caqyhZNed0coSCclnzD5lA, df2pDSN-NMdAA_3J7H3GSw, RMRVRXD-18xUEDVt_hp1HQ, 67ZqpAzDT3zjjnsl5Oo4xg, I9rRZrxnKjlQvuzzoNUh-g, P36J7o10_YSIywaWX9YjCA, eYSWRbs5EhxUVgLL2BcFqA, nKwEANYoKJvcEzDzP4TI_w, S4bY9skLK9-fqoZhjSc9Qw, 0z_va0YJSHa5U0xD2mKEeQ, oggnXzn8KHUdSmCQLL4MtQ, o7-03yvENTyd8CnynKxkBg, 21RaUT9pd2GaoVxwBcKTnQ, 5z5_yKnseEAVI5j6uqkPbA, 83JD89DyKqEl4tjjK5Ad3A, d2PHWR5WW6Yj4LXG5ljmgg, cuvdqdPS5Nh8tpDrO3tMsA, ASCGYpPvcJvo-c8rn8BHoQ, h2o_QnX0PJpbtXRcOzs7NA, xo0VYNkeBAycezI0u26r3w, mbp_UmBlhCeJXAqxoK6foA, 1iCi6ah5a4zxQqssjPg_kg, 0pG9dQe4rjQ-tpjXZPf-6w, ZCfZ-UL24SHOb4ELvBvOLg, ZEMuTlDmukE_vKj6pcjkSg, OgHsx8oKTrxFLcLEDvb8lQ, TVh4dL0lArYXkSJ6WWh_Vg, cMlb-kMPRapJP8LBeK6vdQ, TktITr9cOZM-GMNne4abuQ, DMCZuncYPMN7T1SMdN-Y5Q, OqH85SAF0oLijVY_SeAk8A, BI_PXSF5M61S8O9bqR7VVA, piEVx0FaVhYm6SbQYX8erw, 30Pch18LE63MyRYOC34-8g, UnG4LPz49UWbGvBzVxQaMQ, uGSIOloqL56QKsLTvR_D7g, adxyOPvCYbr7LFhqMQp1SQ, 2lmBAfQWAI06ziEfN5NkCQ, T7xoyml0r3QTW5_16zKzAw, rCx7tb3toOJUsvdOeqYY0g, 4YIgqJiqqZKPIdoPz2Zv6w, w8yoASmlp6RSaZkFD38M1Q, RkaRfAUwjKebGe2tg7uuXQ, R_E1c9mHOIvZT0DFnOSoxg, MKgpIiuzs752BJjPeCW0cw, II_l7zYdMevzk0PFXN3T4g, 1iGkJM2v790RJGo3lJSUAg, gEso8fW-bktDlGeNxbGJ-Q, hxDeqPbPwkKEFXOfK7av9A, SXYOQBtf8VaOu6JuJGNulg, IIbvCWGtIrIS5nvX4xXwOQ, CZQUtmO5NIY-bZWkCqHeJg, -9rBe1pnWodYlfr7qXpBAA, 88jrTyFviMKJWn44JZFeQg, 3-a6VJVZ7Ga_xoKhnhe0qQ, SOCNCNisrOk-queHDhtpLA, 3yBusRwPYtMCpaBkEyhyJw, zy7MzuEjrSzYmXiLy5PV1A, uYDeoofS3HsD4quTa57ucg, p8kHm5pzSevEG7sJdGkIYA, uSyPtqgXYsAwdiPvostnLg, TGdnpYdQgPnKAd7JoC37pQ, W9InhAGYesLGqrGFWh_vbg, aGgNm24n_jpgD52nhbJiHw, WbEcyPmZT7j15CzncVBu7g, ZFxU8-XX9R2Oe1UgtV4Fdw, 3TJcP0stfxjWGsLuGQgQdg, rCfgLHJPaIi-6G8fGZ7B1A, FbN6Uqlqsoxjv2l5dnsQhA, 9w32ooe10bil7oIr5ycQAw, nfIXitXhfIuATNdeH3BYpA, NPG4PWirYbZ6P49c2J9ikA, HvxTJwdgJeaUmMWUDndN5g, JbMHLU7HOiNjACKDiZvGfw, vkBqXCyfOe5IkyD6zoXLRA, sm6AzP6HSQhI9j9V_oiPWA, PoKRQcy2qWPYhVZSEUZG6g, mrO2R1Uc_DmKKEtH2VTNDg, 5Ujdrr6RwPMjoZskZGj2cw, m6OZG66JPXVIZRkqm6reDg, n8UuPQ-nodu1xMHQheGsfg",2086,1010,1003,52,"2009,2010,2011,2012,2013",3.32,89,13,10,17,3,66,96,119,119,35,18
SZDeASXq7o05mMNLshsdIA,Gwen,224,2005-11-29 04:38:33,"enx1vVPnfdNUdPho6PH_wg, 4wOcvMLtU6a9Lslggq74Vg, 1OocYCAZixwbAXueW75FMw, GM_iCKAB1eszzcrTZ0zbfg, RgDVC3ZUBqpEe6Y1kPhIpw, i1NwLLny-RDwONN6B6PcWA, PYxHpeTz2ZxZNJEBIAJgvg, iintcYjvi6p0t_6y72KlZg, mBg3-7rnNwLScbARYHI2GQ, ri4ujkuugWObCu9AkLJqAQ, fQl9-OzXtisnX9l9P6A2bQ, 8nJqiKD4bLoby3hsxbGuZQ, j-X6katTF0OfkdgO6FQFfw, iB9JYE9SFglGQlv2bCyQrg, Do0zZReqXeCQ8Hgl3776pg, v5rsc8m5ax-8nUlIVwRzTA, 1i2LWsWjwwutX9e6coYGxw, KGuVYGYVlPIhmjbct77fEg, zkGbmHWnt5DJjhflEbw-lg, qTypCfhOn6LctbByauKKdA, 6jTlFMNXaClz7veYzJcM_A, 9CWr1HukCWdjW-5zTCXVIA, 57PP2IenLvvbECNbkm3gHA, CCJ9MEk39jYA2mRNQjkWrA, UzUnpnlH1n346MDgaFMOmw, KnK55UzmzL3qerIbsH0MfA, tgHd3XNw8XHV8HOUJ0JrJg, FGhx8r2uv167A2eCsVarpw, n4IepFnHiVuvLcGc35zjtA, Y4Ls2nZ7Jn0aG_TQZ5q2yw, COZ092dHcxwAwF0X_rcv4g, qPGhjScyxtuHrWXN4A8VXg, 1kpMAKRZuAz3OzxBav3XTg, p-8vlScJDlYfmDQoKAmshg, sR3vq6nTP9s_hqBTPDfnmg, 9fFH83LM99IS6cGgCB5KPQ, gWAkrWG3ixWqKA1_chNWlw, AT1-ap-Bz5Y1dgg7OjTlyA, ItfdI_JUowjvmqMU0WQmug, JAFgOs6sMkZEE_nmwHXejw, IeGJAGat7pQhy_DMpDOI8A, fAsh__fjTwrWOF1b851bRw, a0DwyYWrg4LbrSinWd1Beg, UbQ6gR0nJV4mTKQTo36G0Q, 3FduQvPqcL2yDEbWePH-lg, 94Yj2LW13lyNcUtfT0EFxA, _S5tB9stFX3YKLBPVoEjqA, fPCN1X42dXrz4JL4oJyLmQ, iovWFbA1UtMGDJ4C8hbhYA, kHtPj_JYJbC6XaXUBsrjVA, KUIv4oJcC2zKT1uiqURqHw, S4tmzTV-GMVTAs17G_BZ4Q, VJdBLC-9czdAWLYEHUDsNw, R-i4F_rOYAMipGlvlP7A-Q, b6_gR3caZcaf3PIein5ktA, HJ0Ii03hZMr_YtjeuKtzKQ, J9SXjhcssFim43_jSS6ALA, TEtzbpgA2BFBrC0y0sCbfw, hcGgZ4PbKcM3K1clw7tEGA, 4QeDAhpEaD22wxT42AqFPg, Ot7pvG56inGGnXYM0O7ofw, ol7jfojsiDaE_75nC03QOQ, ijHQy0tKMsRZYPjV3cWjMQ, EM6VabmAsSc4U5f5jyvUgw, i_is4plaIQhO5zddLvgsfg, UVxY0iyPaqY7s4BSFtt-xA, 4_O0UikCQWaNhEh7SOK5NQ, RV5GYdOOLb8QG5Gk7pKG1Q, kTCjjePdw2y0ro5jQsK2jg, umIYHRbXtyb_Yy5uThSD_A, sjXC5pTebfGMZzP-9fpxTw, To7EBxWC-Yz011V2-tdTvA, epxy_tQyIcuWhxpAIyhrww, AKGFdJGrTt_f9ZZeOIdq_g, bqfv5G7Y5v59tG5FhAICZA, xjooCet1wILVNpydu8HXLA, _u3abgPukE2dIQUty0CIxQ, EnXgigW42fD-6o8cJQofvA, d3-PmppIosatEIJD8rDSwQ, u6iv1fQHOvJeGiWdlRKbmg, bjrgrjBahUQptjfrsGNo7w, io9u-YKgBKdmmivGsynMhQ, S2jpeAzSuQJImtgvRQSmmg, LUpPyHnDlQOm9F4GCKcuHA, y8aWXOimQ9ZgUgZ6q--nCQ, T6TjDj9BQuS46xDB8eeHFQ, t6ow93hG1ISQLx9j2VCJsQ, X2eRW_1OOvgJXyD1vYSaSg, aXB3uiQ_FiBpcEpNdDXLCQ, v4so4-Gdm4aqCdSAAUbzHg, wpTLof7xazxpqvYGOSk2Rw, iq8cKfdWfvENAaoayWvxfA, 675iUt7yCOg145N7JoyBug, CMQ_rgY7GUzw8-LeaPoGsw, EfYdvZLGGZZBr84OIhyJ5g, JMTxTSCTlMHZ5SrssSibWA, 4Y81J2Tdq5XAnkeYmCZ2ow, PErwVNJBPnRVlSADno2pYA, H16MUcyJEv7JDdJUZYDHpg, EjkOHfgyDqzlw7P29jERMQ, nUybEWfXxoXAXYWF5NSwtQ, SgXXJsZXK5ZXkHqXSruBHA, kLT_jH_1qZUgdFQOXIX31w, TkT8pTsjyamTnax9h2efsw, q6mKVMvmhhbJU_YcfqXyMg, m_D27ZoMazMV-3-sn-6sHQ, PauNerg-kHRpoqLwB6F5CQ, fAKzSCpALYlLdNzRhtVG8g, zpb17M4OG4Agjn3dK32CEw, rGdW50y9qjzvx2Zboyl9Mw, ipleTHGh9KR8hO5U1yxzXw, UxJoHsSFqc3TcM6UkIPmeA, YTqvt6PKmQS-Ygk_JeyXZQ, 3gc__FNyadiCvJ75iZSasw, MFFYhOaTH2KMB8TNDvkHew, _zswJ9fpfb-988k5gPBofA, EJM2wW7YZOSADgcH7HDZYw, djYQcNay3MGECtZqZfhOfA, mPmbOkH3NxXbdoJ-lejjzw, QSjeoL5h97p1rsEvyKPdSA, hyVhS1c2mX7eOCTqVkrGdw, GGWyCHyhpc3UHcXPTESMGA, 5-LDJ6a9mZl08mLj2rXZ_A, LFha-r2VljAzN13YwySTXw, 866bNH6RTDVVl-14OyD9Sw, xtB77qTiYR2VknLcmpx4ow, ZhUNLBzrocf-RAT7qdFk0g, 83Xb0PPBwZiG2c_fLpZgAw, KhjOWuMOTtLuxqqjMaoagA, rhA8QRe-jnRLqR8hBHK1bQ, 7BSP1GSsJkiEXvA3dOPx_Q",512,330,299,28,"2009,2010,2011",4.27,24,4,1,6,2,12,16,26,26,10,9
hA5lMy-EnncsH4JoR-hFGQ,Karen,79,2007-01-05 19:40:59,"PBK4q9KEEBHhFvSXCUirIw, 3FWPpM7KU1gXeOM_ZbYMbA, AWpdSLtet45ZfbYxR_QtGw, QTLb-h7-9RYFDGkDX3-dJg, gmb_vgiPYXS_g-2tXevDng, hpw0VmkI1okMheHoE_Zg5A, UN26eUIXD5HSZt-b6DA_qQ, ZPffRCIk8Y0HJFzvhZebbg, hjUxm7j0uqmhD7OtZFZ2sQ, 3B9OpzTdQt2qZCJNcwXB_A, SVmMQFw-eqDMzizruVhypQ, Y04yRCQ12M435p6v2X3uow, W1EVCvCnle1CQEnuvV7xFQ, aBrrtkB4j1eewa_S9nkwBA, tjm3b3Ts8msuGiYRybHx0Q, Z1MFQFgn-O9ADIOr6g-wEQ, tEUxh2rK4M_9r_XBH4S-oQ, FrWXMb2ixxJG49YuhIye4g, 16cK8VltpHEGMNbqpbpXpA, S3CpkNFpx1QUW0Q4xTWhIw, NgMSgZNDXCWnA1UB6ngFxQ, GR-pfj00PXOaqCSRiF4NCA, wQR26Y7QyZY1eXvi989s-g, ccFwJ1oUv5ILhHS6OXac2A, xGbN2D2YUouarZiZG_0GMQ, SM7CpJ3WwcdoAu59jvtLzA, F7JfpRM9Ld2RMvXrL2DWZA",29,15,7,1,,3.54,1,1,0,0,0,1,1,0,0,0,0
